Country,Week,Combine,Total_weekwise
United States,1,United States---Week-1 2020,0
United States,2,United States---Week-2 2020,0
United States,3,United States---Week-3 2020,0
United States,4,United States---Week-4 2020,2
United States,5,United States---Week-5 2020,5
United States,6,United States---Week-6 2020,5
United States,7,United States---Week-7 2020,3
United States,8,United States---Week-8 2020,20
United States,9,United States---Week-9 2020,31
United States,10,United States---Week-10 2020,272
United States,11,United States---Week-11 2020,1836
United States,12,United States---Week-12 2020,17450
United States,13,United States---Week-13 2020,85062
United States,14,United States---Week-14 2020,173279
United States,15,United States---Week-15 2020,223595
United States,16,United States---Week-16 2020,200604
United States,17,United States---Week-17 2020,188360
Spain,1,Spain---Week-1 2020,0
Spain,2,Spain---Week-2 2020,0
Spain,3,Spain---Week-3 2020,0
Spain,4,Spain---Week-4 2020,0
Spain,5,Spain---Week-5 2020,1
Spain,6,Spain---Week-6 2020,0
Spain,7,Spain---Week-7 2020,1
Spain,8,Spain---Week-8 2020,0
Spain,9,Spain---Week-9 2020,32
Spain,10,Spain---Week-10 2020,340
Spain,11,Spain---Week-11 2020,3857
Spain,12,Spain---Week-12 2020,15749
Spain,13,Spain---Week-13 2020,44079
Spain,14,Spain---Week-14 2020,53651
Spain,15,Spain---Week-15 2020,39312
Spain,16,Spain---Week-16 2020,31046
Spain,17,Spain---Week-17 2020,31696
Italy,1,Italy---Week-1 2020,0
Italy,2,Italy---Week-2 2020,0
Italy,3,Italy---Week-3 2020,0
Italy,4,Italy---Week-4 2020,0
Italy,5,Italy---Week-5 2020,3
Italy,6,Italy---Week-6 2020,0
Italy,7,Italy---Week-7 2020,0
Italy,8,Italy---Week-8 2020,14
Italy,9,Italy---Week-9 2020,871
Italy,10,Italy---Week-10 2020,3748
Italy,11,Italy---Week-11 2020,13024
Italy,12,Italy---Week-12 2020,29361
Italy,13,Italy---Week-13 2020,39477
Italy,14,Italy---Week-14 2020,33329
Italy,15,Italy---Week-15 2020,27750
Italy,16,Italy---Week-16 2020,24857
Italy,17,Italy---Week-17 2020,20560
Germany,1,Germany---Week-1 2020,0
Germany,2,Germany---Week-2 2020,0
Germany,3,Germany---Week-3 2020,0
Germany,4,Germany---Week-4 2020,0
Germany,5,Germany---Week-5 2020,7
Germany,6,Germany---Week-6 2020,6
Germany,7,Germany---Week-7 2020,2
Germany,8,Germany---Week-8 2020,0
Germany,9,Germany---Week-9 2020,42
Germany,10,Germany---Week-10 2020,627
Germany,11,Germany---Week-11 2020,2378
Germany,12,Germany---Week-12 2020,15125
Germany,13,Germany---Week-13 2020,30395
Germany,14,Germany---Week-14 2020,37196
Germany,15,Germany---Week-15 2020,31880
Germany,16,Germany---Week-16 2020,19781
Germany,17,Germany---Week-17 2020,14999
United Kingdom,1,United Kingdom---Week-1 2020,0
United Kingdom,2,United Kingdom---Week-2 2020,0
United Kingdom,3,United Kingdom---Week-3 2020,0
United Kingdom,4,United Kingdom---Week-4 2020,0
United Kingdom,5,United Kingdom---Week-5 2020,2
United Kingdom,6,United Kingdom---Week-6 2020,1
United Kingdom,7,United Kingdom---Week-7 2020,6
United Kingdom,8,United Kingdom---Week-8 2020,0
United Kingdom,9,United Kingdom---Week-9 2020,9
United Kingdom,10,United Kingdom---Week-10 2020,145
United Kingdom,11,United Kingdom---Week-11 2020,544
United Kingdom,12,United Kingdom---Week-12 2020,3276
United Kingdom,13,United Kingdom---Week-13 2020,10560
United Kingdom,14,United Kingdom---Week-14 2020,23625
United Kingdom,15,United Kingdom---Week-15 2020,32104
United Kingdom,16,United Kingdom---Week-16 2020,38420
United Kingdom,17,United Kingdom---Week-17 2020,34772
France,1,France---Week-1 2020,0
France,2,France---Week-2 2020,0
France,3,France---Week-3 2020,0
France,4,France---Week-4 2020,3
France,5,France---Week-5 2020,3
France,6,France---Week-6 2020,5
France,7,France---Week-7 2020,0
France,8,France---Week-8 2020,1
France,9,France---Week-9 2020,45
France,10,France---Week-10 2020,556
France,11,France---Week-11 2020,3048
France,12,France---Week-12 2020,8951
France,13,France---Week-13 2020,20352
France,14,France---Week-14 2020,31374
France,15,France---Week-15 2020,26338
France,16,France---Week-16 2020,18576
France,17,France---Week-17 2020,13325
Turkey,1,Turkey---Week-11 2020,0
Turkey,2,Turkey---Week-11 2021,0
Turkey,3,Turkey---Week-11 2022,0
Turkey,4,Turkey---Week-11 2023,0
Turkey,5,Turkey---Week-11 2024,0
Turkey,6,Turkey---Week-11 2025,0
Turkey,7,Turkey---Week-11 2026,0
Turkey,8,Turkey---Week-11 2027,0
Turkey,9,Turkey---Week-11 2028,0
Turkey,10,Turkey---Week-11 2029,0
Turkey,11,Turkey---Week-11 2020,2
Turkey,12,Turkey---Week-12 2020,668
Turkey,13,Turkey---Week-13 2020,5028
Turkey,14,Turkey---Week-14 2020,15223
Turkey,15,Turkey---Week-15 2020,26108
Turkey,16,Turkey---Week-16 2020,31517
Turkey,17,Turkey---Week-17 2020,26366
Iran,1,Iran---Week-1 2020,0
Iran,2,Iran---Week-2 2020,0
Iran,3,Iran---Week-3 2020,0
Iran,4,Iran---Week-4 2020,0
Iran,5,Iran---Week-5 2020,0
Iran,6,Iran---Week-6 2020,0
Iran,7,Iran---Week-7 2020,0
Iran,8,Iran---Week-8 2020,18
Iran,9,Iran---Week-9 2020,370
Iran,10,Iran---Week-10 2020,4359
Iran,11,Iran---Week-11 2020,6617
Iran,12,Iran---Week-12 2020,8280
Iran,13,Iran---Week-13 2020,12688
Iran,14,Iran---Week-14 2020,18136
Iran,15,Iran---Week-15 2020,17724
Iran,16,Iran---Week-16 2020,11302
Iran,17,Iran---Week-17 2020,8700
China,1,China---Week-1 2020,17
China,2,China---Week-2 2020,15
China,3,China---Week-3 2020,21
China,4,China---Week-4 2020,1243
China,5,China---Week-5 2020,10486
China,6,China---Week-6 2020,22816
China,7,China---Week-7 2020,31934
China,8,China---Week-8 2020,9810
China,9,China---Week-9 2020,2986
China,10,China---Week-10 2020,1413
China,11,China---Week-11 2020,205
China,12,China---Week-12 2020,308
China,13,China---Week-13 2020,665
China,14,China---Week-14 2020,581
China,15,China---Week-15 2020,477
China,16,China---Week-16 2020,781
China,17,China---Week-17 2020,114
Russia,1,Russia---Week-1 2020,0
Russia,2,Russia---Week-2 2020,0
Russia,3,Russia---Week-3 2020,0
Russia,4,Russia---Week-4 2020,0
Russia,5,Russia---Week-5 2020,2
Russia,6,Russia---Week-6 2020,0
Russia,7,Russia---Week-7 2020,0
Russia,8,Russia---Week-8 2020,0
Russia,9,Russia---Week-9 2020,0
Russia,10,Russia---Week-10 2020,8
Russia,11,Russia---Week-11 2020,35
Russia,12,Russia---Week-12 2020,208
Russia,13,Russia---Week-13 2020,783
Russia,14,Russia---Week-14 2020,3113
Russia,15,Russia---Week-15 2020,7768
Russia,16,Russia---Week-16 2020,20091
Russia,17,Russia---Week-17 2020,36614
